IP,HostName,Importance
10.133.38.106,SRLA-DT048,25
10.10.20.169,SRLA-LT013,25
10.10.20.148,SRLA-LT017,25
10.0.0.61,SRLA-LT044,25
192.168.0.108,SRLA-LT053,25
192.168.12.158,SRLA-LT085,25
192.168.1.174,SRLA-LT107,25
192.168.0.101,SRLA-LT109,25
10.10.10.110,SRLA-LT123,25
192.168.12.163,SRLA-LT124,25
192.168.1.219,SRLA-LT128,25
192.168.1.168,SRLA-LT130,25
10.10.20.251,SRLA-LT131,25
10.10.20.218,SRLA-LT134,25
10.10.20.224,SROAK-LT116,25
192.168.1.12,SROAK-LT117,25
10.10.20.190,SRLA-DT018,25
192.168.1.199,SRLA-DT019,25
10.10.10.125,SRLA-DT011,25
192.168.254.210,srla-lt105,25
